Actor,Film,Year,BoxOffice(INR Crore),IMDb
Shah Rukh Khan,Pathaan,2023,1050,7.2
Salman Khan,Tiger Zinda Hai,2017,565,6
Amir Khan,Dangal,2016,2024,8.4
Ranbir Kapoor,Brahmastra,2022,431,5.6
Ranveer Singh,Padmaavat,2018,585,7
Ayushmann Khurrana,Andhadhun,2018,111,8.3
Rajkumar Rao,Stree,2018,180,7.5
Hrithik Roshan,War,2019,475,6.5
Akshay Kumar,Good Newwz,2019,318,7
Kartik Aaryan,Bhool Bhulaiyaa,2022,266,5.9
Varun Dhawan,Badrinath Ki Dulhanyia,2017,201,6.1
Vicky Kaushal ,Uri: The surgical strike,2019,342,8.2